Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2021,Lille,Ligue 1,team,21,25.4,53.8,38,418,3420,38,62,39,101,57,5,5,68,2,48.5,44.5,34.4,79,713,1660,1.63,1.03,2.66,1.5,2.53,1.28,0.91,2.18,1.17,2.08,https://fbref.com/en/squads/cb188c0c/2020-2021/Lille-Stats
2021,Liverpool,Premier League,team,28,26.8,62.1,38,418,3420,38,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.1,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.65,2.92,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2021,Lorient,Ligue 1,team,27,26.8,44.6,38,418,3420,38,49,26,75,40,9,10,69,3,48.6,41.4,30.8,72.2,572,1169,1.29,0.68,1.97,1.05,1.74,1.28,0.81,2.09,1.09,1.9,https://fbref.com/en/squads/d2c87802/2020-2021/Lorient-Stats
2021,Lyon,Ligue 1,team,29,25.8,54.9,38,418,3420,38,76,46,122,65,11,11,66,10,81.4,73,54.9,127.9,804,1991,2,1.21,3.21,1.71,2.92,2.14,1.45,3.59,1.92,3.37,https://fbref.com/en/squads/d53c0b06/2020-2021/Lyon-Stats
2021,Mainz 05,Bundesliga,team,31,25.8,40.7,34,374,3060,34,39,23,62,34,5,5,63,1,49.9,46,34.9,80.9,442,1046,1.15,0.68,1.82,1,1.68,1.47,1.03,2.49,1.35,2.38,https://fbref.com/en/squads/a224b06a/2020-2021/Mainz-05-Stats
2021,Manchester City,Premier League,team,24,26.1,63.5,38,418,3420,38,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2021,Manchester Utd,Premier League,team,29,25.6,55.7,38,418,3420,38,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
2021,Marseille,Ligue 1,team,31,27.2,53.6,38,418,3420,38,53,45,98,49,4,7,98,9,47,41.6,36.5,78,606,1499,1.39,1.18,2.58,1.29,2.47,1.24,0.96,2.2,1.09,2.05,https://fbref.com/en/squads/5725cc7b/2020-2021/Marseille-Stats
2021,Metz,Ligue 1,team,27,25.7,45.2,38,418,3420,38,42,28,70,35,7,11,84,4,44.1,35.8,28.3,64,744,1221,1.11,0.74,1.84,0.92,1.66,1.16,0.74,1.9,0.94,1.68,https://fbref.com/en/squads/f83960ae/2020-2021/Metz-Stats
2021,Milan,Serie A,team,29,24.4,51.7,38,418,3420,38,72,47,119,57,15,20,83,4,70.7,56,43.9,99.8,784,1483,1.89,1.24,3.13,1.5,2.74,1.86,1.15,3.02,1.47,2.63,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats
